id,likes,day,month,year,time_hours,time_minutes
63043,22,7,3,2024,16,23
63062,26,22,3,2024,18,49
63061,7,21,3,2024,15,0
63059,9,19,3,2024,13,35
63057,16,17,3,2024,12,4
63056,15,16,3,2024,12,0
63054,7,15,3,2024,18,0
63053,3,15,3,2024,17,0
63047,8,13,3,2024,16,0
63042,32,6,3,2024,16,44
63041,51,3,3,2024,13,14
63040,115,3,3,2024,12,22
63039,22,1,3,2024,20,6
63038,13,29,2,2024,19,0
63037,22,28,2,2024,16,45
63035,14,27,2,2024,19,33
63031,5,22,2,2024,19,0
63030,7,22,2,2024,18,0
63029,31,22,2,2024,16,30
63024,6,21,2,2024,19,30
63022,5,16,2,2024,18,0
63019,6,15,2,2024,13,0
63017,4,14,2,2024,18,41
63016,12,13,2,2024,12,39
63015,29,12,2,2024,14,43
63014,21,9,2,2024,18,20
63013,15,9,2,2024,15,49
63010,13,6,2,2024,19,17
63008,3,6,2,2024,18,0
63006,9,5,2,2024,14,38
63005,5,3,2,2024,13,0
63002,3,31,1,2024,13,5
63001,17,26,1,2024,18,0
63000,8,26,1,2024,16,7
62997,4,26,1,2024,14,22
62996,2,25,1,2024,14,0
62992,9,24,1,2024,19,0
62987,132,22,1,2024,15,0
62985,19,18,1,2024,18,0
62983,10,17,1,2024,17,0
62979,41,12,1,2024,18,0
62975,127,30,12,2023,16,5
62974,38,29,12,2023,18,0
62972,9,27,12,2023,15,4
62971,31,26,12,2023,17,30
62969,48,22,12,2023,18,0
62958,35,15,12,2023,18,0
62956,24,15,12,2023,12,0
62954,16,14,12,2023,17,15
62951,30,14,12,2023,15,0
62949,48,8,12,2023,18,0
62947,48,7,12,2023,16,0
62944,79,4,12,2023,12,0
62943,181,1,12,2023,18,0
62942,23,1,12,2023,16,0
62937,13,30,11,2023,16,33
62934,5,29,11,2023,19,3
62933,56,29,11,2023,17,30
62932,76,27,11,2023,16,19
62930,12,27,11,2023,14,0
62929,450,27,11,2023,11,53
62928,14,24,11,2023,14,33
62927,42,23,11,2023,17,42
62926,54,23,11,2023,15,21
62923,24,22,11,2023,17,28
62921,11,22,11,2023,14,41
62920,52,21,11,2023,11,48
62919,21,20,11,2023,14,46
62917,10,17,11,2023,15,33
62915,19,17,11,2023,12,34
62913,15,16,11,2023,15,30
62911,6,16,11,2023,11,30
62907,26,14,11,2023,16,0
62904,50,13,11,2023,16,56
62900,157,10,11,2023,13,19
62899,12,8,11,2023,19,26
62897,22,8,11,2023,12,30
62894,935,7,11,2023,17,0
62891,13,6,11,2023,11,0
62888,20,3,11,2023,12,40
62887,17,2,11,2023,17,36
62886,238,2,11,2023,10,48
62884,51,31,10,2023,15,45
62880,14,27,10,2023,18,27
62879,39,27,10,2023,12,0
62876,11,26,10,2023,15,40
62874,87,25,10,2023,16,9
62871,4,25,10,2023,12,40
62869,20,24,10,2023,19,36
62868,60,24,10,2023,11,0
62865,290,23,10,2023,12,44
62861,82,20,10,2023,12,30
62860,29,19,10,2023,11,58
62846,23,18,10,2023,11,5
62843,39,16,10,2023,20,0
62835,16,16,10,2023,14,0
62830,11,13,10,2023,12,16
62828,561,12,10,2023,13,42
62827,11,11,10,2023,10,23
62824,55,10,10,2023,19,24
62823,111,9,10,2023,11,0
62821,16,5,10,2023,15,14
62818,109,5,10,2023,12,30
62816,17,3,10,2023,17,30
62814,139,3,10,2023,11,34
62813,9,2,10,2023,19,30
62811,12,2,10,2023,17,5
62810,19,2,10,2023,10,30
62808,28,28,9,2023,15,0
62804,34,26,9,2023,14,22
62802,20,25,9,2023,15,59
62800,92,20,9,2023,18,38
62796,43,19,9,2023,16,5
62795,9,18,9,2023,18,17
62794,64,18,9,2023,15,0
62780,120,15,9,2023,11,20
62778,8,13,9,2023,16,39
62777,38,12,9,2023,19,23
62774,39,11,9,2023,16,55
62771,16,11,9,2023,12,0
62767,264,8,9,2023,15,45
62765,18,7,9,2023,17,57
62762,13,6,9,2023,16,7
62761,94,6,9,2023,14,0
62759,11,5,9,2023,17,4
62758,35,5,9,2023,11,30
62753,61,4,9,2023,15,37
62751,118,4,9,2023,11,0
62750,76,2,9,2023,14,36
62748,123,1,9,2023,10,0
62746,266,1,9,2023,9,0
62743,142,31,8,2023,15,0
62741,5,31,8,2023,12,49
62740,25,31,8,2023,10,0
62737,19,29,8,2023,13,23
62736,13,28,8,2023,17,31
62735,82,28,8,2023,11,0
62733,121,24,8,2023,18,0
62731,269,24,8,2023,14,30
62730,5,24,8,2023,13,4
62729,26,23,8,2023,16,52
62728,10,23,8,2023,11,22
62721,9,22,8,2023,13,25
62720,208,22,8,2023,10,14
62719,29,21,8,2023,19,31
62717,9,21,8,2023,12,18
62706,78,18,8,2023,15,2
62702,181,18,8,2023,11,7
62701,3,17,8,2023,17,45
62700,145,17,8,2023,12,45
62699,14,16,8,2023,18,59
62696,276,15,8,2023,16,59
62694,33,14,8,2023,15,30
62689,22,11,8,2023,18,29
62688,9,11,8,2023,17,4
62686,15,11,8,2023,11,0
62683,6,10,8,2023,15,16
62681,224,10,8,2023,10,47
62676,24,8,8,2023,11,0
62671,14,7,8,2023,14,38
62664,89,6,8,2023,14,2
62659,21,3,8,2023,19,7
62650,29,3,8,2023,11,29
62648,19,2,8,2023,13,39
62641,27,1,8,2023,19,49
62632,563,31,7,2023,18,1
62615,113,30,7,2023,22,36
62539,84,28,7,2023,23,16
62486,21,28,7,2023,10,0
62477,116,27,7,2023,23,45
62414,27,27,7,2023,16,48
62409,7,27,7,2023,16,1
62400,208,26,7,2023,18,46
62396,75,26,7,2023,13,42
62391,27,25,7,2023,10,0
62387,28,24,7,2023,20,6
62385,27,24,7,2023,16,54
62379,13,21,7,2023,20,17
62378,289,21,7,2023,17,50
62375,40,21,7,2023,8,35
62367,8,19,7,2023,17,47
62366,75,19,7,2023,16,30
62359,77,18,7,2023,16,14
62358,55,17,7,2023,15,58
62356,7,14,7,2023,11,11
62352,59,13,7,2023,12,11
62351,7,12,7,2023,13,0
62349,20,12,7,2023,11,30
62344,137,10,7,2023,16,38
62342,11,10,7,2023,10,30
62340,257,7,7,2023,17,30
62339,4,7,7,2023,15,52
62337,9,7,7,2023,11,41
62334,7,6,7,2023,17,1
62331,19,5,7,2023,19,40
62329,12,5,7,2023,18,58
62323,51,5,7,2023,10,31
62322,13,4,7,2023,16,27
62318,11,4,7,2023,11,53
62315,8,3,7,2023,18,53
62312,11,3,7,2023,12,17
62311,11,3,7,2023,10,0
62303,110,30,6,2023,19,7
62301,14,30,6,2023,17,0
62299,9,30,6,2023,14,23
62297,239,30,6,2023,10,36
62296,9,29,6,2023,19,7
62295,9,29,6,2023,18,8
62289,34,26,6,2023,15,0
62287,9,26,6,2023,11,53
62285,19,23,6,2023,19,32
62284,1,23,6,2023,18,6
62283,23,23,6,2023,15,30
62280,135,23,6,2023,10,53
62276,9,21,6,2023,18,58
62275,7,21,6,2023,15,24
62274,171,21,6,2023,13,46
62273,6,21,6,2023,10,30
62271,164,20,6,2023,16,0
62269,18,20,6,2023,12,0
62267,9,19,6,2023,16,40
62265,11,19,6,2023,13,31
62262,13,16,6,2023,17,30
62260,266,16,6,2023,10,33
62259,37,15,6,2023,15,28
62257,32,14,6,2023,17,45
62254,20,9,6,2023,17,0
62252,12,9,6,2023,14,0
62247,13,8,6,2023,19,20
62245,147,8,6,2023,18,11
62243,12,8,6,2023,13,6
62242,43,8,6,2023,12,0
62239,11,7,6,2023,18,9
62237,23,7,6,2023,13,30
62235,12,7,6,2023,10,0
62234,7,6,6,2023,18,0
62231,7,6,6,2023,16,0
62229,127,6,6,2023,13,38
62226,23,5,6,2023,15,30
62223,10,5,6,2023,10,30
62219,21,2,6,2023,18,0
62216,13,2,6,2023,15,49
62215,12,2,6,2023,11,0
62213,57,1,6,2023,17,5
62212,11,1,6,2023,13,35
62210,20,1,6,2023,11,30
62208,48,31,5,2023,14,35
62206,25,31,5,2023,12,46
62205,4,30,5,2023,19,0
62202,30,30,5,2023,13,0
62200,4,30,5,2023,11,0
62199,44,29,5,2023,17,30
62194,8,29,5,2023,10,0
62192,42,26,5,2023,19,53
62191,29,26,5,2023,18,30
62188,39,26,5,2023,11,0
62185,32,25,5,2023,18,20
62183,35,25,5,2023,15,30
62179,85,25,5,2023,14,0
62177,9,24,5,2023,16,42
62175,95,24,5,2023,12,10
62171,3,23,5,2023,18,55
62170,92,23,5,2023,13,0
62168,127,22,5,2023,10,33
62167,17,19,5,2023,14,24
62165,84,19,5,2023,11,3
62163,22,18,5,2023,11,0
62161,10,17,5,2023,17,31
62157,462,16,5,2023,18,27
62156,6,16,5,2023,14,30
62154,11,16,5,2023,11,0
62153,37,15,5,2023,12,40
62150,20,15,5,2023,10,0
62147,55,12,5,2023,15,6
62145,5,11,5,2023,17,49
62144,55,11,5,2023,12,0
62143,13,10,5,2023,17,0
62139,64,8,5,2023,14,0
62138,40,5,5,2023,16,0
62134,11,4,5,2023,12,0
62132,3,3,5,2023,19,30
62130,17,3,5,2023,18,30
62127,9,2,5,2023,14,28
62125,49,1,5,2023,13,30
62122,96,28,4,2023,16,0
62120,19,28,4,2023,10,4
62117,25,27,4,2023,16,30
62115,7,27,4,2023,15,17
62113,1,26,4,2023,14,30
62111,32,26,4,2023,12,8
62109,11,25,4,2023,16,46
62107,23,25,4,2023,9,45
62103,11,20,4,2023,18,28
62102,5,19,4,2023,17,1
62101,5,18,4,2023,17,54
62100,8,15,4,2023,14,0
62098,12,14,4,2023,13,0
62093,19,12,4,2023,18,35
62091,9,12,4,2023,16,29
62089,17,11,4,2023,17,30
62087,10,11,4,2023,13,25
62085,9,10,4,2023,19,7
62062,6,7,4,2023,11,0
62061,4,6,4,2023,19,35
62060,8,6,4,2023,18,0
62057,193,6,4,2023,15,20
62043,10,5,4,2023,17,33
62041,1,4,4,2023,16,30
62039,12,4,4,2023,13,17
62038,19,4,4,2023,10,44
62034,6,3,4,2023,16,9
62032,19,3,4,2023,10,0
62030,16,1,4,2023,11,45
62014,18,31,3,2023,12,19
62012,7,31,3,2023,10,0
62008,8,30,3,2023,18,0
62006,25,30,3,2023,15,47
62003,25,29,3,2023,17,42
62000,11,27,3,2023,13,34
61998,30,24,3,2023,14,29
61996,7,23,3,2023,17,41
61994,7,23,3,2023,14,55
61992,12,22,3,2023,17,43
61990,11,21,3,2023,15,25
61988,17,20,3,2023,18,33
61986,22,20,3,2023,17,0
61982,53,18,3,2023,12,32
61980,20,17,3,2023,15,53
61978,5,17,3,2023,13,6
61976,82,15,3,2023,16,0
61974,31,14,3,2023,14,46
61971,89,13,3,2023,20,23
61970,115,13,3,2023,18,1
61968,56,12,3,2023,8,10
61967,30,11,3,2023,14,0
61963,44,9,3,2023,16,41
61960,24,7,3,2023,16,42
61958,10,6,3,2023,18,43
61956,11,6,3,2023,14,32
61954,29,6,3,2023,12,55
61951,50,3,3,2023,17,42
61949,6,3,3,2023,11,36
61948,22,2,3,2023,16,3
61947,8,1,3,2023,18,9
61946,14,1,3,2023,13,36
61942,16,28,2,2023,17,32
61941,6,28,2,2023,14,40
61940,9,22,2,2023,12,22
61939,13,21,2,2023,19,16
61938,4,21,2,2023,11,26
61937,10,20,2,2023,14,22
61934,7,17,2,2023,11,6
61933,7,16,2,2023,10,29
61931,11,15,2,2023,17,32
61929,6,15,2,2023,13,25
61928,12,14,2,2023,13,32
61926,61,14,2,2023,12,23
61925,10,10,2,2023,17,0
61924,8,10,2,2023,13,40
61921,14,10,2,2023,12,22
61920,4,9,2,2023,18,36
61918,6,6,2,2023,17,28
61915,48,1,2,2023,15,7
61913,11,31,1,2023,15,45
61912,3,26,1,2023,18,40
61910,13,26,1,2023,15,25
61909,7,25,1,2023,11,20
61907,14,24,1,2023,14,48
61906,7,24,1,2023,11,33
61905,10,23,1,2023,17,21
61904,4,19,1,2023,20,19
61903,11,19,1,2023,12,45
61902,14,18,1,2023,18,4
61901,8,17,1,2023,17,12
61900,13,13,1,2023,16,16
61899,9,11,1,2023,16,37
61897,42,30,12,2022,10,9
61896,17,25,12,2022,12,41
61894,14,22,12,2022,10,55
61892,9,19,12,2022,13,43
61891,12,15,12,2022,15,31
61890,4,15,12,2022,10,15
61889,6,14,12,2022,17,55
61888,32,14,12,2022,16,55
61887,13,14,12,2022,15,55
61886,10,12,12,2022,17,29
61885,3,12,12,2022,15,22
61884,5,9,12,2022,16,50
61883,14,9,12,2022,11,53
61882,3,7,12,2022,19,20
61881,7,7,12,2022,11,13
61880,10,6,12,2022,13,38
61878,9,5,12,2022,10,9
61876,12,2,12,2022,14,29
61875,9,30,11,2022,18,45
61874,34,30,11,2022,14,29
61873,19,28,11,2022,19,27
61872,19,28,11,2022,12,45
61870,169,27,11,2022,12,1
61869,13,27,11,2022,10,0
61868,15,26,11,2022,12,49
61867,53,24,11,2022,18,21
61866,11,24,11,2022,13,15
61865,9,23,11,2022,19,41
61864,10,21,11,2022,18,40
61863,31,21,11,2022,14,27
61861,5,18,11,2022,12,30
61860,3,18,11,2022,11,24
61859,4,17,11,2022,15,11
61858,24,17,11,2022,14,2
61857,9,16,11,2022,17,6
61856,6,15,11,2022,18,20
61854,8,14,11,2022,18,15
61853,15,14,11,2022,14,16
61852,7,14,11,2022,12,5
61850,16,11,11,2022,15,20
61849,9,10,11,2022,16,3
61848,8,9,11,2022,17,52
61846,21,8,11,2022,16,43
61845,10,7,11,2022,12,29
61843,12,3,11,2022,17,29
61842,87,2,11,2022,19,1
61841,4,2,11,2022,17,16
61840,3,2,11,2022,12,49
61839,11,1,11,2022,13,8
61838,16,31,10,2022,11,52
61837,6,26,10,2022,15,6
61836,14,25,10,2022,11,18
61835,7,24,10,2022,19,16
61834,7,24,10,2022,15,19
61833,10,24,10,2022,11,58
61831,1,21,10,2022,15,57
61830,10,21,10,2022,13,31
61829,12,20,10,2022,13,49
61828,14,19,10,2022,16,1
61827,4,19,10,2022,12,29
61826,6,18,10,2022,10,41
61825,9,17,10,2022,12,45
61824,8,17,10,2022,11,46
61821,18,13,10,2022,18,28
61819,25,13,10,2022,12,4
61818,9,12,10,2022,12,17
61816,5,11,10,2022,17,22
61815,43,7,10,2022,17,3
61814,2,7,10,2022,13,21
61811,3,4,10,2022,18,56
61810,10,4,10,2022,15,35
61809,4,4,10,2022,12,10
61807,20,30,9,2022,14,5
61806,25,30,9,2022,9,42
61805,15,28,9,2022,15,27
61803,3,23,9,2022,15,14
61802,14,22,9,2022,19,34
61800,114,19,9,2022,17,51
61799,36,19,9,2022,16,54
61798,5,19,9,2022,11,26
61797,15,16,9,2022,17,51
61796,11,16,9,2022,14,10
61795,3,14,9,2022,18,45
61794,9,14,9,2022,15,34
61793,31,13,9,2022,19,3
61792,6,13,9,2022,16,34
61790,17,13,9,2022,12,40
61788,9,12,9,2022,17,30
61785,21,8,9,2022,11,9
61784,4,7,9,2022,17,31
61783,8,6,9,2022,18,44
61782,25,5,9,2022,16,20
61778,33,2,9,2022,16,18
61777,18,2,9,2022,12,0
61776,14,2,9,2022,10,31
61775,6,1,9,2022,16,24
61774,3,1,9,2022,14,54
61773,91,1,9,2022,10,49
61772,10,31,8,2022,17,54
61771,50,31,8,2022,15,53
61768,38,31,8,2022,10,30
61767,17,30,8,2022,18,47
61766,37,30,8,2022,17,42
61764,29,30,8,2022,10,30
